tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia ginsengisoli	0	0	0	1	0	0	26	7	16	17	17
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia glacialis	0	0	0	0	2	0	0	0	2	2	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia honganensis	5	10	12	8	11	0	7	0	2	2	7
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia humi	6	8	3	8	1	6	6	2	4	3	9
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia indica	0	0	0	0	0	10	0	0	0	5	5
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia insulae	0	1	3	0	5	6	0	4	7	17	17
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia limi	0	2	1	2	2	0	2	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia lucknowensis	0	0	0	0	0	9	3	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia mishustinii	0	0	0	0	0	0	0	0	0	3	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia neptuniae	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia nitrariae	0	1	0	0	0	0	0	0	0	3	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia pacifica	0	0	1	0	0	0	0	0	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia psychrophila	0	0	0	0	0	5	2	0	0	2	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia riboflavina	7	3	0	1	0	11	0	6	0	0	7
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia sediminis	3	1	1	1	0	8	0	0	6	0	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia subaequoris	0	0	0	0	3	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia yakushimensis	0	2	0	4	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Maritalea;Maritalea mobilis	8	2	1	8	7	1	2	1	1	2	10
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Maritalea;Maritalea myrionectae	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Maritalea;Maritalea porphyrae	4	11	1	1	1	0	0	0	1	0	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Paradevosia;Paradevosia shaoguanensis	0	0	0	2	0	0	0	0	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Pelagibacterium;Pelagibacterium halotolerans	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Pelagibacterium;Pelagibacterium lentulum	3	4	2	0	4	0	0	0	0	0	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Pelagibacterium;Pelagibacterium rhizosphaerae	0	0	1	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Pelagibacterium;Pelagibacterium sediminicola	0	0	0	0	0	5	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Youhaiella;Youhaiella tibetensis	0	0	0	0	0	0	0	1	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Dichotomicrobium;Dichotomicrobium thermohalophilum	3	10	8	7	6	14	8	3	8	5	8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Filomicrobium;Filomicrobium fusiforme	25	27	24	29	11	8	34	18	20	18	43
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Filomicrobium;Filomicrobium insigne	5	7	6	5	5	6	10	5	6	5	10
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium album	17	13	24	36	13	0	26	4	12	12	29
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium chloromethanicum	24	17	27	26	24	41	26	10	15	18	42
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium denitrificans	15	8	28	9	9	7	0	0	3	4	19
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium facile	25	27	17	19	32	33	12	0	42	10	35
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium hollandicum	106	55	36	78	69	84	227	138	118	143	249
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium methylovorum	6	13	0	5	0	0	9	0	6	0	6
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium sulfonivorans	29	35	62	59	33	58	45	20	29	30	59
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methyloceanibacter;Methyloceanibacter caenitepidi	6	5	4	17	3	2	2	3	1	0	6
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methyloligella;Methyloligella halotolerans	21	26	48	23	19	4	22	3	17	13	34
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methylothermalis;Methylothermalis aethiopiae	35	39	20	22	25	10	12	14	15	9	44
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium americanum	4	13	0	24	15	0	0	0	8	0	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium australicum	19	13	21	14	26	18	8	5	0	0	19
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium ferrugineum	2	0	0	3	3	0	0	0	0	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium manganicum	38	27	31	59	51	16	18	11	21	15	53
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodomicrobium;Rhodomicrobium lacus	2	7	5	9	0	0	0	0	0	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes oryzae	0	1	5	4	3	0	2	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes pokkaliisoli	2	7	0	5	5	1	5	0	1	1	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes roseus	6	4	3	9	3	9	14	3	3	3	9
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes serenus	22	29	15	29	12	4	20	16	16	20	42
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes tepidicaeni	6	0	0	4	7	0	0	0	6	0	6
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Enhydrobacter;Enhydrobacter aerosaccus	0	1	7	7	7	0	12	7	2	3	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Flaviflagellibacter;Flaviflagellibacter deserti	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Nordella;Nordella oligomobilis	14	4	2	6	9	4	5	9	12	6	20
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Pseudorhodoplanes;Pseudorhodoplanes sinuspersici	82	87	91	127	93	109	188	87	101	106	188
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Terrihabitans;Terrihabitans soli	0	0	1	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Vineibacter;Vineibacter terrae	122	91	78	124	98	32	73	28	44	48	170
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Bauldia;Bauldia consociata	55	67	39	107	47	1	19	8	2	5	60
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Bauldia;Bauldia litoralis	4	5	4	7	3	11	4	0	1	0	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia algarum	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia dalseonensis	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia defluvii	15	13	15	15	17	135	165	44	70	63	78
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia hirudinis	1	5	0	2	1	2	8	2	5	7	8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia;Kaistia soli	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Prosthecomicrobium;Prosthecomicrobium hirschii	2	3	3	1	3	3	0	1	1	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Prosthecomicrobium;Prosthecomicrobium pneumaticum	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenibacterium;Lichenibacterium minor	3	1	0	1	0	0	0	0	0	1	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenibacterium;Lichenibacterium ramalinae	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenihabitans;Lichenihabitans psoromatis	17	23	5	6	3	4	11	4	9	5	22
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Enterovirga;Enterovirga rhinocerotis	0	1	0	2	1	7	3	0	2	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium aerolatum	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium ajmalii	0	0	0	1	0	0	1	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium cerastii	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium crusticola	3	0	0	0	0	0	1	0	0	1	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium dankookense	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium durans	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium frigidaeris	2	0	0	1	1	0	0	0	2	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium fujisawaense	0	0	0	0	0	0	1	0	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium gnaphalii	8	18	13	17	8	82	187	47	64	70	78
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium goesingense	0	0	0	0	1	0	0	1	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium haplocladii	0	1	1	1	1	4	1	3	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium indicum	0	1	0	1	0	1	0	0	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium isbiliense	0	0	0	0	0	0	0	0	1	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium jeotgali	16	11	11	18	24	29	133	28	58	60	76
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium komagatae	1	3	0	0	2	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium mesophilicum	0	3	0	0	0	0	2	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium nodulans	1	0	0	0	1	0	0	1	0	1	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium nonmethylotrophicum	0	1	0	0	2	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium organophilum	0	10	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium oryzihabitans	2	2	2	5	2	0	3	2	1	2	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium persicinum	0	0	0	3	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium platani	9	5	12	19	11	5	2	2	2	2	11
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium radiodurans	1	1	0	0	1	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium radiotolerans	0	3	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium soli	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium tardum	0	0	0	0	0	2	1	1	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium terrae	0	0	1	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium terricola	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium trifolii	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	10	0	9	0	0	0	0	0	0	6	16
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum podarium	0	4	0	4	12	0	0	0	4	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum populi	8	12	7	12	5	5	4	0	0	3	11
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum rhodesianum	3	0	9	5	5	0	4	8	5	4	7
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum rhodinum	3	20	2	7	1	7	11	5	7	2	5
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum salsuginis	2	0	0	0	1	2	0	2	1	2	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum suomiense	0	0	0	4	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum thiocyanatum	2	0	0	0	0	6	5	0	3	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga aerilata	0	15	11	23	11	1	0	1	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga aerophila	0	0	0	0	0	0	1	1	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga alba	32	61	63	47	52	501	793	304	424	329	361
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga antarctica	7	32	9	37	35	3	20	3	17	11	18
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga arabica	0	3	0	2	0	5	4	2	2	2	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga arsenatis	0	4	0	0	2	2	2	1	1	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga brassicacearum	4	0	1	5	10	0	2	2	1	1	5
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga flavescens	0	5	1	0	0	0	0	2	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga flocculans	3	0	0	0	4	1	0	0	0	0	3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga guangxiensis	30	7	0	18	8	0	0	3	0	0	30
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga indica	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga lotononidis	23	35	32	14	0	0	12	2	0	0	23
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga massiliensis	2	0	2	1	0	1	6	4	5	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga mediterraneensis	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga pakistanensis	1	3	1	8	2	3	2	2	3	1	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga rosea	4	2	1	6	6	2	10	1	2	0	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga roseola	3	0	0	2	0	0	1	0	1	1	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga splendida	94	147	185	168	125	596	1286	570	740	779	873
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga subterranea	0	0	1	2	5	2	7	2	1	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga tunisiensis	0	0	0	11	0	0	1	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga vignae	0	0	5	0	0	0	0	0	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Psychroglaciecola;Psychroglaciecola arctica	2	1	3	5	2	0	3	0	1	2	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis bryophila	61	61	43	82	41	85	84	36	44	37	98
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis echinoides	48	86	58	93	76	129	118	65	77	87	135
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis heyeri	1	5	5	5	8	6	76	44	33	9	10
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis hirsuta	0	0	7	3	0	11	47	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis parvus	37	65	65	113	99	116	118	0	28	73	110
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis rosea	0	5	6	0	5	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis silviterrae	0	5	0	0	5	0	0	0	53	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus;Methylosinus sporium	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus;Methylosinus trichosporium	32	42	24	57	28	93	48	19	25	22	54
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Albibacter;Albibacter helveticus	13	15	19	21	16	14	15	5	11	13	26
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Albibacter;Albibacter methylovorans	4	9	6	10	5	3	22	5	0	13	17
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Hansschlegelia;Hansschlegelia beijingensis	4	2	2	8	7	4	8	1	3	2	6
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Hansschlegelia;Hansschlegelia plantiphila	1	2	6	9	4	4	4	2	3	3	4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Hansschlegelia;Hansschlegelia zhihuaiae	45	52	37	61	37	19	74	23	38	37	82
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila;Methylopila capsulata	18	17	18	36	21	22	49	19	22	23	41
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila;Methylopila carotae	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila;Methylopila henanensis	2	0	0	0	1	0	1	0	1	0	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila;Methylopila jiangsuensis	4	4	7	6	7	4	6	4	0	4	8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila;Methylopila turkensis	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;[Pseudomonas] carboxydohydrogena	7	7	3	3	7	6	5	4	7	5	12
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia birgiae	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia carboxidovorans	0	3	12	10	10	10	73	39	47	31	31
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia clevelandensis	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia felis	0	4	0	2	0	1	3	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium campsiandrae	3	7	9	7	3	2	14	4	5	5	8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium cenepequi	0	0	0	6	9	3	0	9	8	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium centrolobii	2	0	2	1	0	2	10	2	0	5	7
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium diazoefficiens	9	0	0	0	0	5	1	0	0	4	13
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium elkanii	0	0	0	0	0	0	7	2	4	7	7
