tax	COT1	COT2	COT3	COT4	COT5	ICO1	OUT1	OUT2	OUT3	OUT4	total
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;Peptidiphaga gingivicola	0	1	0	0	0	1	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia funkei	1	0	0	0	0	0	1	0	0	1	2
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia suimastitidis	3	1	3	0	3	5	8	4	2	0	3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia vaccimaxillae	0	0	1	0	0	0	1	0	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella abortisuis	0	0	0	0	2	0	0	0	2	1	1
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella bonasi	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella pyogenes	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum timonense	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum vaginae	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Winkia;Winkia neuii	2	5	1	16	1	0	4	6	5	3	5
Bacteria;Actinomycetota;Actinomycetes;Actinomycetes_Incertae_sedis;Actinomycetes_Incertae_sedis;Bounagaea;Bounagaea algeriensis	2	3	1	3	1	0	2	3	4	1	3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetes_Incertae_sedis;Actinomycetes_Incertae_sedis;Halopolyspora;Halopolyspora alba	0	0	2	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;Actinopolyspora alba	3	6	4	10	4	1	7	2	7	1	4
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia;Aeriscardovia aeriphila	1	2	1	2	1	0	1	0	1	0	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia macacae	4	5	4	19	9	0	2	1	2	1	5
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia venturai	0	2	3	2	1	0	0	0	1	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium aquikefiri	0	0	1	0	0	0	4	1	2	1	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bohemicum	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bombi	0	0	0	0	0	0	1	1	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium callitrichos	0	0	8	4	0	0	2	1	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium castoris	4	8	2	9	8	0	0	0	0	0	4
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium commune	2	0	0	1	0	1	0	0	2	0	2
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium coryneforme	7	0	0	0	1	1	0	2	0	2	9
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium cuniculi	0	0	0	0	1	0	0	1	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium gallicum	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium hapali	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum	0	0	2	2	0	0	0	0	0	3	3
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium oedipodis	0	0	0	0	0	1	2	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium phasiani	3	0	2	0	0	1	2	0	0	2	5
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium saguini	0	0	0	0	3	1	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium simiiventris	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium thermacidophilum	0	0	0	0	0	0	1	0	0	1	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium vespertilionis	2	2	0	4	1	0	1	0	2	0	2
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Neoscardovia;Neoscardovia arbecensis	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Pseudoscardovia;Pseudoscardovia radai	2	0	0	0	0	6	0	0	0	0	2
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia inopinata	2	6	5	2	2	2	2	1	0	2	4
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia wiggsiae	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinomycetota;Actinomycetes;Catenulisporales;Actinospicaceae;Actinospica;Actinospica durhamensis	0	0	0	0	2	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora fulva	0	0	0	0	0	0	0	2	1	0	0
Bacteria;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora graminis	1	3	0	0	0	0	0	0	4	1	2
Bacteria;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora rubra	3	0	0	4	0	0	0	0	0	0	3
Bacteria;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium arvum	0	0	0	1	0	2	0	4	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium aurantiacum	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium japonicum	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium mongoliense	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;Frankia casuarinae	6	11	22	14	12	0	4	2	0	4	10
